[2024-03-10 13:23:22,223 INFO] Vocab size: 38622
[2024-03-10 13:23:22,223 INFO] EmotionVocab Size: 32
[2024-03-10 13:23:23,936 INFO] Training data size: 40252
[2024-03-10 13:23:23,936 INFO] Valid data size: 5736
[2024-03-10 13:23:23,936 INFO] Test data size: 307
[2024-03-10 13:23:32,639 INFO] loading emotion model...
[2024-03-10 13:23:38,819 INFO] S-0	<CLS> Help. Help me. I dunno what I'm doing anymore <SEP>
[2024-03-10 13:23:41,522 INFO] H-69	i am sure you will be able to talk to them .
[2024-03-10 13:23:41,522 INFO] S-70	<CLS> Maybe I'm not depressed. Maybe I just don't like living.. I mean, I don't seem to have ANY depressive symptoms except being generally dissatisfied with life and being suicidal. None of the drugs worked. None of the shrinks helped. Maybe living really is just a shitty, boring thing in aggregate. <SEP>
[2024-03-10 13:23:41,522 INFO] T-70	<BOS> Everything is pointless, all our feelings are illusions because they are all brain chemicals. I don't see any meaning in life, there is no purpose, no happiness, no satisfaction. Why being happy/wanting to live is the normal quality of a human? Can't depressed be normal too? Is depression real? <EOS>
[2024-03-10 13:23:41,522 INFO] H-70	i am sorry to hear that . i hope you find someone to talk to your city and let you find a way .
[2024-03-10 13:23:41,522 INFO] S-71	<CLS> I feel numb. This year has been so hard. I have never felt loneliness like I have this year. Overwhelming feelings of sadness and despair wash over me as I am just walking long the road or sat at work. It takes so much energy to pretend to be normal for family or colleagues. I am so tired. My day used to be happy. I used to find joy in things but there is no joy left. But I know that I don't feel empty. Far from empty as there is so much darkness inside me. I feel numb. Does anyone else feel nub? <SEP>
[2024-03-10 13:23:41,522 INFO] T-71	<BOS> What I can say that I can relate somewhat to your situation. Upholding social standard is hard and especially hard is keeping in line with what your family wants from you. You need to be able to find joy in new things, in what you find interesting currently, even if it isn't exactly accepted socially and your family might not like it. It's your life, not your parent's. <EOS>
[2024-03-10 13:23:41,522 INFO] H-71	that 's a good idea . i 'm sure you 'll be fine .
[2024-03-10 13:23:41,522 INFO] S-72	<CLS> Anyone else has nothing worth living for?. No friends, no job prospects, no romantic success to look forward to. Makes life look like an utterly pointless waste of time. Anyone else struggling with this? <SEP>
[2024-03-10 13:23:41,522 INFO] T-72	<BOS> Not in the same way - I have a job (and prospects), I have some friends, but I live a life in solitude, since I cannot enjoy spending time with friends or people because it amplifies my depression - and I have no clue why. Maybe because I always feel alone, even when in company which makes me avoid it. So yeah, it's not what I'd call a life worth living and at least somehow related to your struggle. <EOS>
[2024-03-10 13:23:41,522 INFO] H-72	oh no ! i hate when that happens .
[2024-03-10 13:23:41,522 INFO] S-73	<CLS> Anyone take mental health days from work?. Do you use vacation, PTO, sick, FMLA? <SEP>
[2024-03-10 13:23:41,522 INFO] T-73	<BOS> Back at my old job, I used sick leave. <EOS>
[2024-03-10 13:23:41,522 INFO] H-73	i 'm sorry to hear that .
[2024-03-10 13:23:41,522 INFO] S-74	<CLS> Depression shower thought. Common saying out there that suicide is selfish, but what a lot of non-suicidal people don't understand is that people who are suicidal know that the people around them will have better lives if they were not in it and know that being alive is selfish. <SEP>
[2024-03-10 13:23:41,522 INFO] T-74	<BOS> I think it's more like...suicide IS selfish, but so is asking someone to not commit suicide. So the argument is just kind of invalid because it's merely a question of who gets to be selfish. <EOS>
[2024-03-10 13:23:41,522 INFO] H-74	i am sorry to hear that . i hope you can find someone else to help you out .
[2024-03-10 13:23:41,522 INFO] S-75	<CLS> Sometimes I wonder why I even try. I've never really overcome depression, because it always comes back worse than before. This is the worst I've ever had; I can't go more than 5 minutes without thinking about suicide. <SEP>
[2024-03-10 13:23:41,522 INFO] T-75	<BOS> Same, well obviosuly I don't know how you feel 100% but I thinks its appropiate to say I can relate to you deeply. Why don't we try distract ourselves, even if its just 5 mins. Listen to a song you like, watch a small video, browse r/eyebleach or even go drink water. Im gonna try and watch something in youtube to at least try and not think about you know what. Wannna try with me? :) <EOS>
[2024-03-10 13:23:41,522 INFO] H-75	i 'm sorry to hear that . i hope you can find a way to make it through .
[2024-03-10 13:23:41,522 INFO] S-76	<CLS> I have been a Freshmen for 3, 1/2 years. I don't even blame my depression , I am just dumb. I was at community college for three years and now I am on academic probation in a university, this is my second semester here and I only have twelve credits to my name. I am trying , I really am but it's just hard and hopeless. The other day my parents told me we made room for your future degree , next to your siblings degrees! I am twenty-two years old going on twenty-three. I don't know what to do. <SEP>
[2024-03-10 13:23:41,522 INFO] T-76	<BOS> It took me seven years to get a bachelors, and a lot of that was done part time or online. Do it on your schedule. Nobody else's. <EOS>
[2024-03-10 13:23:41,522 INFO] H-76	i 'm sorry to hear that . i hope you get to ride soon !
[2024-03-10 13:23:41,522 INFO] S-77	<CLS> Its silly how out of the blue it can hit you and ruin everything you built mentally up to that point.. especially during the ACT. fuck me. <SEP>
[2024-03-10 13:23:41,522 INFO] T-77	<BOS> Its not silly, its cruel ;-; <EOS>
[2024-03-10 13:23:41,522 INFO] H-77	that is so sad . i hope you are able to get a new one .
[2024-03-10 13:23:41,522 INFO] S-78	<CLS> It’s like I’m driving with no driving wheel. And just wishing for the car to hit a wall <SEP>
[2024-03-10 13:23:41,522 INFO] T-78	<BOS> Except we're all driving on a flat plane <EOS>
[2024-03-10 13:23:41,523 INFO] H-78	i would be too . i would have been so scared too .
[2024-03-10 13:23:41,523 INFO] S-79	<CLS> Your entire reason for existing explained in one word.. Work. . . That's about it. <SEP>
[2024-03-10 13:23:41,523 INFO] T-79	<BOS> Revenge. . . On a life thrown away. <EOS>
[2024-03-10 13:23:41,523 INFO] H-79	that 's awesome ! i 'm sure you 'll do fine !
[2024-03-10 13:23:41,523 INFO] S-80	<CLS> Getting out of your situation or not is a choice.. Paraphrasing what a former friend used to say. Splendid, I felt so enlightened I could cry tears of joy. <SEP>
[2024-03-10 13:23:41,523 INFO] T-80	<BOS> Well yeah, but what about the relatives and the mess? <EOS>
[2024-03-10 13:23:41,523 INFO] H-80	wow , that 's a long time ago . i 'm sure it 'll be a great time !
[2024-03-10 13:23:41,523 INFO] S-81	<CLS> Anyone feel numb/epmpty. I don't really know of its depression but I figured you guys could help. I have this number feeling where I just don't feel emotions other then sad or angry I just feel empty. Like I'm just a shell with nothing inside just going through life. I don't really know what to do with myself I don't want to kill myself because it would hurt the people I care about most but at the same time I can't feel anything other then everything suck why am I here. It's really tough to even get out of bed in the morning all I want to do is cry. Does anyone have any ideas on coping with this numb/empty feeling because nothing makes me happy. <SEP>
[2024-03-10 13:23:41,523 INFO] T-81	<BOS> Hellow, is bad to hear that you're doing bad, I feel kinda the same, don't kill yourself, you're going to die anyway, so try and enjoy as much as you can. I hate how my life is right now, I feel empty and bored with everything/everyone, but.. **I love being alive**, you know, even tho existence itself has no meaning, we can just try and take the best out of it as long as we can. <EOS>
[2024-03-10 13:23:41,523 INFO] H-81	i 'm sorry to hear that . i hope you can figure it out .
[2024-03-10 13:23:41,523 INFO] S-82	<CLS> Today is my birthday. I should be happy and shit, but I'm just empty. Does this happen to you, when you should be happy but your just empty? This sucks. Want this shit to end <SEP>
[2024-03-10 13:23:41,523 INFO] T-82	<BOS> Happy birthday bud :) Being a Virgo has its perks... this isn't one of them. Always a perfectionist, never happy with anything. I feel you man.. tomorrow is my birthday. <EOS>
[2024-03-10 13:23:41,523 INFO] H-82	that is good to hear .
[2024-03-10 13:23:41,523 INFO] S-83	<CLS> Idk. It's 5 am and everything is hitting at once <SEP>
[2024-03-10 13:23:41,523 INFO] T-83	<BOS> same man I feel you <EOS>
[2024-03-10 13:23:41,523 INFO] H-83	that sounds like a real good thing to do .
[2024-03-10 13:23:41,523 INFO] S-84	<CLS> Do any of you guys feel like me?. For some background, I'm 18 and in my freshman year of university. For a couple months now I've just been feeling sorta weird. It's like a long funk. I don't know how to describe it. If I had to choose, I'd say I feel empty or indifferent. I'm still able to laugh and find things funny, but a lot of the time I just feel like a machine, doing things because I have to. My motivation is minimal. A part of me is just not transitioning very well from high school to university. I don't like it here and I don't know how to describe it, either. Maybe out of place? Not fitting in? The environment here is just cold. I've been looking forward to sleeping more lately, but I dunno if that's just my exhaustion from late night studying/work or something else. I think I failed my chemistry exam and the course and it doesn't really phase me. I don't know what's wrong. Am I depressed? Do you guys feel similarly? <SEP>
[2024-03-10 13:23:41,523 INFO] T-84	<BOS> Sounds like apathy to me. I'm guessing you feel kind of lost and without a direction and you just are following the path that you feel is required of you. While apathy is one symptom of depression, it doesn't necessarily mean that you have depression. By no means am I downplaying depression or trying to convince you that nothing is wrong because there isn't any on true definition of depression. I felt like you for a while, just a few small pleasures but nothing really else. For me, it went away after a few months. If you want to talk about it more or anything, feel free to ask anything. My only advice is don't give up now, because if it goes away, you'll regret a lot of things that you stopped caring about. <EOS>
[2024-03-10 13:23:41,523 INFO] H-84	i know right ? i know the feeling of being able to move on .
[2024-03-10 13:23:41,523 INFO] S-85	<CLS> I'm curious about how anti-depressants have affected you. I've been dealing with depression since I was 12 (I'm nearly 19 now) and in the past, my doctor recommended anti-depressants. I was hesitant because I've had friends say it essentially makes you feel like an emotionless robot, so I ended up declining that option entirely. I feel like my depression has only gotten worse and worse and am now looking to meds as a last resort. To anyone currently/previously on anti-depressants, could you tell me how it's affected you both mentally and physically? Thank you all &lt;3 <SEP>
[2024-03-10 13:23:41,523 INFO] T-85	<BOS> Really depends on the particular medication. Everyone responds differently as well. I have mostly had bad experiences with antidepressants, but I am not a good example. I know people who really improved while being on them. It is a bit of a gamble and it can take time to find the suitable med for you. I would say it is worth a try though. <EOS>
[2024-03-10 13:23:41,523 INFO] H-85	i 'm sure it will be fine
[2024-03-10 13:23:41,523 INFO] S-86	<CLS> I've had depression since I was 8 years old and I am now 21 years old with no recovery.. This makes me incredibly scared of my future... <SEP>
[2024-03-10 13:23:41,523 INFO] T-86	<BOS> Depressed since I was 9, I'm 23 now...I totally feel you, you are not alone. Thankfully life does seem to get better for each year that passes, I deal with the severe depression as it occurs and try to enjoy the times when it's milder. Good luck to you in life. <EOS>
[2024-03-10 13:23:41,523 INFO] H-86	i do n't think i would be able to help .
[2024-03-10 13:23:41,523 INFO] S-87	<CLS> Does anyone else feel normal late at night?. I find myself depressed mostly morning-evening. However I feel content and relaxed late at night <SEP>
[2024-03-10 13:23:41,523 INFO] T-87	<BOS> Late at night is pretty much the only time I feel normal. Too bad I waste most of the night on sleep. <EOS>
[2024-03-10 13:23:41,523 INFO] H-87	that is really nice .
[2024-03-10 13:23:41,523 INFO] S-88	<CLS> Feeling dead inside. For the last 1-2 weeks feeling nothing inside, like most of the other people, dont know what to do. Thoughts in the middle of the night well, i might die, i dont have what to live for. Literally void of nothing, black space. <SEP>
[2024-03-10 13:23:41,523 INFO] T-88	<BOS> As someone who's felt the same, what do you have? And I'm speaking objectively, because I typically don't want to admit that I have what I need when I feel as you do. Not that I'm saying that you do have a lot, but your post doesn't necessarily shed a lot of light on what's going on. It's easy, or it has been for me, at least, to say that I don't know what to live for, in the past. Somebody out there cares, man/woman, small or large. I don't know what your situation is, by your post, but feel free to message me if you want. <EOS>
[2024-03-10 13:23:41,523 INFO] H-88	i am sorry to hear that . i hope you find a better home .
[2024-03-10 13:23:41,523 INFO] S-89	<CLS> Feel like I'm forgetting what enjoyment is. Time with my partner doesn't feel fulfilling, not like it did. Even my zoo job feels routine; I don't do much there, and today, I feel dull to it. I hate this; I don't deserve numbness, I should be grateful for my life. Depression, thieving fucker.. <SEP>
[2024-03-10 13:23:41,523 INFO] T-89	<BOS> You deserve it! No one does! should yourself, though. Try to roll with it instead of beating yourself down more. You could comfort yourself instead and see what that does. <EOS>
[2024-03-10 13:23:41,523 INFO] H-89	that 's great ! i 'm happy for you .
[2024-03-10 13:23:41,523 INFO] S-90	<CLS> The 20's. Are the 20's supposed to suck this bad. I want to fast forward to when my life gets better. Kind of like a click remote. <SEP>
[2024-03-10 13:23:41,523 INFO] T-90	<BOS> Will pray for you my friend. Pray lift these things and issues up to God. Pray without ceasing. Put your faith and trust in the Lord that he would help you overcome these issues and struggles. I wish you the very best. God bless you my friend. <EOS>
[2024-03-10 13:23:41,523 INFO] H-90	i am sure you will be fine .
[2024-03-10 13:23:41,523 INFO] S-91	<CLS> Feel so lonely and hopeless... My mind even clear enough to articulate my thoughts to write here clearly. I just feel so lonely and want to die. <SEP>
[2024-03-10 13:23:41,523 INFO] T-91	<BOS> YOU ARE NOT ALONE!!!! You posting here proves that. No matter what give up. There is always a better day, a better year, and a better life. There is so much help waiting for you. Talk it all out here if you need to, we judge and we can all relate. Please rob the world of your life! PM if you need help or need to talk, always willing to! <EOS>
[2024-03-10 13:23:41,524 INFO] H-91	that 's good . i 'm glad you 're ok .
[2024-03-10 13:23:41,524 INFO] S-92	<CLS> Lonely in a crowd. I'm hanging here at a party of about 75 drinking, and I feel completely alone. <SEP>
[2024-03-10 13:23:41,524 INFO] T-92	<BOS> Exactly. Don't worry OP it will be ok, if one of your conversations got awkward just shrug it off, it doesn't fucking matter. If you see someone alone , go talk to them. If everyone is in a group just be like hey guys what's sup , again don't try to be weird just be yourself. People will accept you I promise. It's best if you try taking to one person, it has much better results so go do your thing <EOS>
[2024-03-10 13:23:41,524 INFO] H-92	i 'm sorry to hear that . i hope you are ok .
[2024-03-10 13:23:41,524 INFO] S-93	<CLS> Feeling nervous when happy. So yesterday I felt happy for the first time in a while and switched from my depressing music to my happy music. I quickly switched back to my depressing music because the happiness made me feel uneasy and nervous. Anyone else have this happen to them? <SEP>
[2024-03-10 13:23:41,524 INFO] T-93	<BOS> Yea, things go more wrong when happy. Kind of. Really I just get more nervous because I suddenly have that happiness to lose. When Im depressed it is what it is, but when like carrying a bag of money through a bad neighbourhood at let me lose lol. I be happy if not risking something. The risk and fear of losing the happiness, is part of how I feel good. Like, I feel proud that willing to take that risk. If that makes sense? Be careful with music, powerful. I have stuff I listen to because so good at effecting how I feel. Also, your brain releases a lot of chemicals when happy for the first time in a while, if ever had an extreme sugar rush, or done cocaine lol, it can be overwhelming. normal though. <EOS>
[2024-03-10 13:23:41,524 INFO] H-93	i am sure it will !
[2024-03-10 13:23:41,524 INFO] S-94	<CLS> I don't why but I just cut myself out of sheer boredom. I don't know why this happens and how to stop. <SEP>
[2024-03-10 13:23:41,524 INFO] T-94	<BOS> Replace cutting with something else. When you wanna cut do something else. I smoke haha but seriously maybe theres other things that you might enjoy. Before I lost all motivation for anything I used to like running till my body hurt. It releases endorphins and other good stuff. I can vouch, I felt good afterwards. <EOS>
[2024-03-10 13:23:41,524 INFO] H-94	that 's unfortunate . i 'm sorry to hear that .
[2024-03-10 13:23:41,524 INFO] S-95	<CLS> no friends for 10 years. no gf. ugly. wtf do i do?. I'm a 24 year old old man. <SEP>
[2024-03-10 13:23:41,524 INFO] T-95	<BOS> Depression is a hard fight. I am 29, on meds and I still struggle. All I can add is to start with yourself. Keep a daily routine, like hygiene or reading, find something that allows you to clear your mind and be calm. Go to work or go to school and be yourself. Always find something that can make you laugh. A great sense of humor and a good personality can for real change the way people see you. I had terrible acne as a child and hated how I looked, but as I grew older I gained more friends through my humor. I only really have 2 friends but they are great friends. Quality over quantity and all that jazz. As for being single I too am in the double digit bus. I go from periods of loathing being alone to being numb to being okay with it. My friends and the things that make me laugh help ease that pain. <EOS>
[2024-03-10 13:23:41,524 INFO] H-95	that 's cool . how long have you been together ?
[2024-03-10 13:23:41,524 INFO] S-96	<CLS> despite being on medication, the depression is coming back. it worked so well, i thought finally i can feel normal again well that were some nice 2 months but now im feeling like shit again have some side effects as well and in about 1 month ill see my psychiatrist again lets see if i can survive till then <SEP>
[2024-03-10 13:23:41,524 INFO] T-96	<BOS> When did you notice you're feeling crappy again? <EOS>
[2024-03-10 13:23:41,524 INFO] H-96	i 'm sure you 'll be fine .
[2024-03-10 13:23:41,524 INFO] S-97	<CLS> Anxiety/panic attacks. How do you guys deal with anxiety/panic attacks? I used to have them a lot and could discrease them but never really stop. But now they're back on like, almost daily basis and I really don't know how to handle them at all. <SEP>
[2024-03-10 13:23:41,524 INFO] T-97	<BOS> Medication. My panic would feed on itself to the point where I'd have done just about anything to make it stop. <EOS>
[2024-03-10 13:23:41,524 INFO] H-97	i know that feeling , i have a lot of people who care of others .
[2024-03-10 13:23:41,524 INFO] S-98	<CLS> I wish i had cancer. So my family was helping me, instead of judging <SEP>
[2024-03-10 13:23:41,524 INFO] T-98	<BOS> Dude don't say that man your family loves you and trust me you do not want cancer <EOS>
[2024-03-10 13:23:41,524 INFO] H-98	that 's a good thing to hear ! what kind of dog is it ?
[2024-03-10 13:23:41,524 INFO] S-99	<CLS> Depressed.... I've faced the biggest betrayal ever, and I am depressed as shit. Any thoughts? <SEP>
[2024-03-10 13:23:41,524 INFO] T-99	<BOS> actually, you've faced the biggest betrayal up to date. Wether a bigger betrayal will happen in the future or not, you can't know. so if i were you i'd try to get over it. Life may be short but a betrayal is just an event in the story. Flip the page and carry on! <EOS>
[2024-03-10 13:23:41,524 INFO] H-99	i 'm sorry to hear that . what happened ?
[2024-03-10 13:23:41,524 INFO] S-100	<CLS> I can't stop comparing myself to everyone else. I don't even know who I am anymore--just who I am not. This past week was really rough... <SEP>
[2024-03-10 13:23:41,524 INFO] T-100	<BOS> Even if I won't do it, other people will constantly do it for me. <EOS>
[2024-03-10 13:23:41,524 INFO] H-100	that 's so sad . i 'm sorry to hear that .
[2024-03-10 13:23:41,524 INFO] S-101	<CLS> About to clean my room. Need a little encouragement.. I'll report back when I'm done or how the progress is going. I have to use adhd medication to get me to start, even though I tend to do other things instead, and the come down makes me think bad thoughts. Sigh. Wish me luck. <SEP>
[2024-03-10 13:23:41,524 INFO] T-101	<BOS> Should this really be in depression <EOS>
[2024-03-10 13:23:41,524 INFO] H-101	i can understand that
[2024-03-10 13:23:41,524 INFO] S-102	<CLS> .... Feeling hopeless and useless at the moment... Empty, lost, darkness <SEP>
[2024-03-10 13:23:41,524 INFO] T-102	<BOS> Some days I just want to lie in bed and listen to sad or angry music. <EOS>
[2024-03-10 13:23:41,524 INFO] H-102	that 's a good thing to hear ! how did you manage ?
[2024-03-10 13:23:41,524 INFO] S-103	<CLS> Can’t sleep, Any techniques to suppress my depressive thoughts about my future and fall a sleep?. I just sleep more then 3 hours Please help me <SEP>
[2024-03-10 13:23:41,524 INFO] T-103	<BOS> I just make up fantasy stories in my head until I do, maybe you could find something similar to do? <EOS>
[2024-03-10 13:23:41,524 INFO] H-103	that 's great . i 'm glad you 're ok .
[2024-03-10 13:23:41,524 INFO] S-104	<CLS> Living in the past .... How to be more present.. <SEP>
[2024-03-10 13:23:41,524 INFO] T-104	<BOS> Yesterday was yesterday, today is today. Tomorrow is tomorrow. If you have one foot on the past, and one foot on the future, then you are pissing on the present. Think about that one. <EOS>
[2024-03-10 13:23:41,524 INFO] H-104	i am sorry to hear that . i 'm sure you 'll be fine .
[2024-03-10 13:23:41,525 INFO] S-105	<CLS> Anyone else use to be smart and then after years of being idol you became stupid. Happened to me. awful. I think from constantly disengaging myself <SEP>
[2024-03-10 13:23:41,525 INFO] T-105	<BOS> I was the smart kid getting straight As. Now I struggle to get Cs. <EOS>
[2024-03-10 13:23:41,525 INFO] H-105	i 'm sorry to hear that . i hope you do n't have any regrets .
[2024-03-10 13:23:41,525 INFO] S-106	<CLS> That feeling when you look at the dental bill.... ...and could scream in agony, realizing no one but yourself is to blame for abusing you by neglecting your teeth, including expensive previous dental work that's now gone to hell. Depression carries some very heavy lessons. <SEP>
[2024-03-10 13:23:41,525 INFO] T-106	<BOS> That feeling when your teeth are rotting away and you're too scared to go to the dentist. :( <EOS>
[2024-03-10 13:23:41,525 INFO] H-106	i am sorry to hear that .
[2024-03-10 13:23:41,525 INFO] S-107	<CLS> I don't really want my depression to go away.. Its a part of me even though it keeps me from doing anything it also makes me me. Suicidal thoughts are a large part of my personality. <SEP>
[2024-03-10 13:23:41,525 INFO] T-107	<BOS> Strangely.I feel deeply so I know I will always suffer deeply. <EOS>
[2024-03-10 13:23:41,525 INFO] H-107	i am sure you will be able to have a good time .
[2024-03-10 13:23:41,525 INFO] S-108	<CLS> Had to promise not to kill myself. Dont think i can keep it.. My therapist made me promise to not kill myself but i cant keep suffering <SEP>
[2024-03-10 13:23:41,525 INFO] T-108	<BOS> I had this perception for a long time myself. But I realized eventually it's because I wasn't reaching out to them myself. I'm here, and I haven't forgotten about you. I'm here to help! :) <EOS>
[2024-03-10 13:23:41,525 INFO] H-108	i am sorry to hear that .
[2024-03-10 13:23:41,525 INFO] S-109	<CLS> Sister is depressed how can I help?. My sister is 4 years older than me. She has been depressed for at least 4 weeks maybe longer. We don't live in the same city. Based on your personal experience what kinds of things do you like to hear from a loved one? That makes you feel better? <SEP>
[2024-03-10 13:23:41,525 INFO] T-109	<BOS> This is really sweet. Send her horrid memes, lol. Or maybe remind of something really funny that happened between you two in the past. You can mail a small box for like $5, mail her a letter and some of her favorite candy. Any small thing you can think of that just might put a smile on her face would probably help. Even if just a phone call or text. <EOS>
[2024-03-10 13:23:41,525 INFO] H-109	i 'm sorry to hear that . maybe you can find a new hobby to keep yourself occupied .
[2024-03-10 13:23:41,525 INFO] S-110	<CLS> Depression and addiction. i have been suffering from depression from when i was 13. I am 19. I don't have any friends. If i die right now, no one will notice. I am adicted to heroin cocaine and methadone. I need help or I may die. &amp;#x200B; <SEP>
[2024-03-10 13:23:41,525 INFO] T-110	<BOS> Have you tried admitting yourself anywhere? <EOS>
[2024-03-10 13:23:41,525 INFO] H-110	i am sorry to hear that . i hope you can find a way to keep up .
[2024-03-10 13:23:41,525 INFO] S-111	<CLS> Not going to kill myself but I really want to die. What is the point?? Everything is shit anyway?? I really didn't ask to be born and then my parents put this life responsibility on me. Anybody else feel like this? <SEP>
[2024-03-10 13:23:41,525 INFO] T-111	<BOS> omg lol I 100% blame my parents. After taking an AP Psychology course at my school, it kind of shifted my own perspective on my depression. I know I can't claim to be an expert after reading just one textbook, but even an idiot can realize that your behavior and who you are is just totally as a result of your parents. The genetic aspects aren't their fault of course, but they are perfect human specimens, so you can imagine what 17 years of always being wrong has done to my self esteem and thought process. Strangely, being cognizant of that fact doesn't change it much. Of course, I've directly told my parents I blame them for who I am, and as perfect specimens, they told me that I can't keep blaming them for everything. There's truth to that of course, but it's rather incredible that they can find the gall to abdicate themselves of all guilt and responsibility. I'd better just get on my hands and knees and obey their every whim, since they're the ones who work and pay for my existence, regardless of whether or not I can actually do jack shit about that (child labor laws, yo). Lol sorry your post is just so relatable I had to rant. <EOS>
[2024-03-10 13:23:41,525 INFO] H-111	i can imagine , i would be so scared too .
[2024-03-10 13:23:41,525 INFO] S-112	<CLS> Talking to people doesn't help. No matter how much I vent, nothing actually helps me and I still feel the same. <SEP>
[2024-03-10 13:23:41,525 INFO] T-112	<BOS> Do you see a therapist ? Maybe a medical treatment with a psychiatrist and regular appointments could help you ? I have been doing it it and it has been helping me <EOS>
[2024-03-10 13:23:41,525 INFO] H-112	i am sorry to hear that . i 'm sure you 'll be fine .
[2024-03-10 13:23:41,525 INFO] S-113	<CLS> I hate going to sleep knowing I’ll wake up in the morning.. I wish just end already. <SEP>
[2024-03-10 13:23:41,525 INFO] T-113	<BOS> I understand. You regret going to sleep knowing that when you will wake, it will all be the same. Nothing changes, same problems different day. But I have realized, slowly and painfully, that the changes won't happen unless I make an effort to try and change things Currently I keep getting pissed at myself for staying up as late as I do, drinking myself to sleep, and hoping that in the morning, something new will happen instead of what really is going on in my life. The point I'm hoping to make is that we need to make the effort of change if we really want to change how our life's are headed, and we need to hold to that change. <EOS>
[2024-03-10 13:23:41,525 INFO] H-113	i am sure you will be fine .
[2024-03-10 13:23:41,525 INFO] S-114	<CLS> Any good literature or media about depression?. PLS help I haven't read anything in years and I feel like something that can I can either relate or help me through this will help me out of this rut <SEP>
[2024-03-10 13:23:41,525 INFO] T-114	<BOS> I can only recommend fiction (apologies; not much of a self-help/non-fiction kind of guy) but The Perks of Being a Wallflower (the film; never read the book myself) deals with depression among other things and is very powerful. Much of Sylvia Plath's poetry centres around mental health and depression, if that's of interest, and while it's not something I've read 'The Bell Jar' (which is prose) is also supposed to be very good, according to a former acquaintance of mine. And I recently finished watching an anime called Orange which was mostly very good at dealing with the issue, the one caveat being that characters tend to talk about 'saving' people quite a lot, which can be a little bit galling (lol). Music-wise, Brand New have done a number of songs which either deal with depression (or emotions that can be closely linked to depression) or are pretty evocative in that sense tonally-speaking. Can't think of anything else right off the top of my head but hopefully that's a fair amount of stuff, in the short-term at least <EOS>
[2024-03-10 13:23:41,525 INFO] H-114	i 'm sorry to hear that . i hope you get the job .
[2024-03-10 13:23:41,525 INFO] S-115	<CLS> depression is an endless fucking cycle. you're depressed so you do stupid shit. you make your life worse. and you get more depressed. cycle continues <SEP>
[2024-03-10 13:23:41,525 INFO] T-115	<BOS> Fucking true. Made some bad decisions including a drunk driving stint last weekend and now I'm trying to deal with the consequences. Feel like I'm being punished for being self destructive. <EOS>
[2024-03-10 13:23:41,525 INFO] H-115	that 's really tough . i hope you get to work hard for you .
[2024-03-10 13:23:41,525 INFO] S-116	<CLS> Holy hell why cant I sleep?!. I just started taking Zoloft a few days ago and since then I can not fucking fall asleep. I'm not an idiot I know it's a side effect but shit this is annoying. I have school in the morning <SEP>
[2024-03-10 13:23:41,525 INFO] T-116	<BOS> been taking Zoloft for a few days and it made me more sleepy then ever. Today I only took half a dose (25mg instead of 50) and I feel less drowsy, but worse. <EOS>
[2024-03-10 13:23:41,525 INFO] H-116	that is so sad . i hope you can figure it out .
[2024-03-10 13:23:41,526 INFO] S-117	<CLS> 3rd week im skipping school. Kill myself&gt;going to school, I wish I had drugs now... <SEP>
[2024-03-10 13:23:41,526 INFO] T-117	<BOS> As a 24 year old that needs to go back to college and pay his way there. It is absolutely imperative you succeed in school to get tuitions for college. I know what you're feeling, well actually mine was worse since I had little friends but if I could back and give myself advice I'd tell myself to man up and do well, work out and socialize because the rest of your life is so dependant on how well you do at your age right now. Please believe in yourself and press forward. Although you have all the time in the world to make changes. Waiting it out will only lead to insanity and depression. It's a problem you don't want to deal with when your older. It's best done in the present. <EOS>
[2024-03-10 13:23:41,526 INFO] H-117	that 's awful . i 'm sorry . i hope it turns out well .
[2024-03-10 13:23:41,526 INFO] S-118	<CLS> What do you call someone,. who has the solution in their hands, ready to use instantaneously, and yet doesn't do it and chooses to continue whining about their life? <SEP>
[2024-03-10 13:23:41,526 INFO] T-118	<BOS> not sure. I whine about life all the time but if I had the solution, use it right away. be gone tonight! <EOS>
[2024-03-10 13:23:41,526 INFO] H-118	that is a good thing to have .
[2024-03-10 13:23:41,526 INFO] S-119	<CLS> Happiness is hard to come by.. I don't know how to be happy... it seems like there's always something lingering that wants to put me down. <SEP>
[2024-03-10 13:23:41,526 INFO] T-119	<BOS> I like to start with really tiny things and small moments. <EOS>
[2024-03-10 13:23:41,526 INFO] H-119	i 'm sorry to hear that . it is hard to get out of the end .
[2024-03-10 13:23:41,526 INFO] S-120	<CLS> I don't want a partner or even just friends because I want the freedom to kill myself, with the least number of people affected.. This way, it's only my parents and siblings who will be saddened. <SEP>
[2024-03-10 13:23:41,526 INFO] T-120	<BOS> I used to imagine hoping myself out of existence, because wishes usually fail. In any case, I'm just recently starting to appreciate how all our lives are connected or rather it's a delusion to think there was never a connection to begin with, else itd be different. Anyway, it's ok to take some isolation to figure things out, but life's like riding a bicycle. <EOS>
[2024-03-10 13:23:41,526 INFO] H-120	i 'm sure it is !
[2024-03-10 13:23:41,526 INFO] S-121	<CLS> How to become an Introvert ?. It may sound wired but i think that being extroverts suck and becoming Introvert may help me in depression and anxiety and the worst i think i have BPD.Can someone give me a guide on how to become an Introvert. Thanks <SEP>
[2024-03-10 13:23:41,526 INFO] T-121	<BOS> Introvert here, I still get super lonely I just stress out about what I would say to people and every single thing I can say wrong. <EOS>
